dia;tiempo_actual;archivo;medH;medS;medV;medB;medG;medR;medL;medA;medBB;medY;medCB;medCR;meH;meS;meV;meB;meG;meR;meL;meA;meBB;meY;meCB;meCR
2022-07-22;09:12:12;p001.JPG;29.0;105.0;229.0;135.0;227.0;229.0;226.0;116.0;173.0;217.0;136.0;82.0;28.97;105.99;226.16;132.31;223.0;226.16;222.59;116.32;172.7;213.68;136.91;82.09
2022-07-22;09:12:36;p002.JPG;30.0;96.0;255.0;159.0;255.0;255.0;250.0;114.0;174.0;244.0;136.0;80.0;29.93;97.85;254.51;157.07;254.06;254.42;249.56;114.34;174.34;243.2;136.09;79.42
2022-07-22;09:13:00;p003.JPG;29.0;109.0;235.0;134.0;232.0;235.0;231.0;116.0;175.0;222.0;137.0;79.0;28.92;111.31;234.14;132.21;230.8;234.14;229.59;115.76;176.11;220.57;137.51;78.11
2022-07-22;09:13:26;p004.JPG;28.0;65.0;247.0;184.0;244.0;247.0;243.0;120.0;157.0;238.0;135.0;98.0;28.15;66.11;246.19;182.53;242.25;246.19;241.41;120.34;157.44;236.61;134.86;97.43
2022-07-22;09:13:50;p005.JPG;30.0;66.0;255.0;188.0;255.0;255.0;251.0;118.0;159.0;247.0;134.0;95.0;29.69;67.09;251.86;185.76;250.66;251.76;247.85;118.45;159.26;243.72;133.82;95.28
2022-07-22;09:14:15;p006.JPG;30.0;116.0;253.0;138.0;253.0;253.0;248.0;113.0;182.0;240.0;137.0;71.0;29.7;116.49;252.84;137.37;251.53;252.67;247.1;113.23;182.34;238.78;137.83;70.76
2022-07-22;09:14:40;p007.JPG;30.0;116.0;255.0;139.0;255.0;255.0;250.0;113.0;183.0;242.0;137.0;70.0;29.94;116.39;254.59;138.54;254.09;254.41;249.14;112.72;182.73;241.03;137.55;70.15
2022-07-22;09:15:05;p008.JPG;29.0;97.0;241.0;150.0;239.0;241.0;237.0;117.0;172.0;229.0;137.0;83.0;28.69;97.9;238.84;147.27;234.88;238.84;233.54;117.0;171.01;226.06;137.06;83.56
2022-07-22;09:15:29;p009.JPG;30.0;93.0;255.0;162.0;253.0;255.0;249.0;115.0;172.0;243.0;136.0;82.0;29.29;94.76;253.95;159.69;251.35;253.95;247.94;115.84;172.23;241.81;136.77;81.71
2022-07-22;09:15:53;p010.JPG;29.0;93.0;232.0;147.0;229.0;232.0;229.0;117.0;168.0;221.0;136.0;87.0;28.49;90.95;228.53;147.04;224.85;228.53;224.8;117.99;166.61;217.09;136.21;88.43
